huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
17,0,543.0,41.0,0,543.0,41.0,0.0,0.0
17,1,544.0,42.0,13,544.0,42.0,0.0,0.0
17,2,544.0,43.0,26,544.0,43.0,0.0,0.0
17,3,544.0,44.0,39,544.0,44.0,0.0,0.0
17,4,544.0,45.0,52,544.0,45.0,0.0,0.0
17,5,544.0,46.0,65,544.0,46.0,0.0,0.0
17,6,545.0,47.0,78,545.0,47.0,0.0,0.0
17,7,545.0,48.0,91,545.0,48.0,0.0,0.0
17,8,545.0,49.0,104,545.0,49.0,0.0,0.0
17,9,545.0,50.0,117,545.0,50.0,0.0,0.0
17,10,545.0,51.0,130,545.0,51.0,0.0,0.0
17,11,545.0,52.0,143,545.0,52.0,0.0,0.0
17,12,546.0,53.0,156,546.0,53.0,0.0,0.0
17,13,546.0,54.0,169,546.0,54.0,0.0,0.0
17,14,546.0,55.0,182,546.0,55.0,0.0,0.0
17,15,546.0,56.0,195,546.0,56.0,0.0,0.0
17,16,546.0,57.0,208,546.0,57.0,0.0,0.0
17,17,546.0,58.0,221,546.0,58.0,0.0,0.0
17,18,546.0,59.0,234,546.0,59.0,0.0,0.0
17,19,547.0,60.0,247,547.0,60.0,0.0,0.0
17,20,547.0,61.0,260,547.0,61.0,0.0,0.0
17,21,547.0,62.0,273,547.0,62.0,0.0,0.0
17,22,547.0,63.0,286,547.0,63.0,0.0,0.0
17,23,548.0,64.0,299,548.0,64.0,0.0,0.0
17,24,548.0,65.0,312,548.0,65.0,0.0,0.0
17,25,548.0,66.0,325,548.0,66.0,0.0,0.0
17,26,548.0,67.0,338,548.0,67.0,0.0,0.0
17,27,548.0,68.0,351,548.0,68.0,0.0,0.0
17,28,549.0,69.0,364,549.0,69.0,0.0,0.0
17,29,549.0,70.0,377,549.0,70.0,0.0,0.0
17,30,549.0,71.0,611,549.0,71.0,0.0,0.0
17,31,550.0,71.0,390,550.0,71.0,0.0,0.0
17,32,550.0,72.0,403,550.0,72.0,0.0,0.0
17,33,551.0,73.0,416,551.0,73.0,0.0,0.0
17,34,552.0,74.0,429,552.0,74.0,0.0,0.0
17,35,553.0,74.0,442,553.0,74.0,0.0,0.0
17,36,554.0,74.0,455,554.0,74.0,0.0,0.0
17,37,554.0,75.0,585,554.0,75.0,0.0,0.0
17,38,555.0,75.0,572,555.0,75.0,0.0,0.0
17,39,556.0,76.0,481,556.0,76.0,0.0,0.0
17,40,557.0,76.0,494,557.0,76.0,0.0,0.0
17,41,558.0,76.0,507,558.0,76.0,0.0,0.0
17,42,559.0,76.0,520,559.0,76.0,0.0,0.0
17,43,560.0,76.0,533,560.0,76.0,0.0,0.0
17,44,561.0,76.0,546,561.0,76.0,0.0,0.0
17,45,562.0,76.0,559,562.0,76.0,0.0,0.0
