huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
3,0,54.0,57.0,26,54.0,57.0,0.0,0.0
3,1,55.0,57.0,13,55.0,57.0,0.0,0.0
3,2,51.0,58.0,65,51.0,58.0,0.0,0.0
3,3,52.0,58.0,52,52.0,58.0,0.0,0.0
3,4,53.0,58.0,39,53.0,58.0,0.0,0.0
3,5,56.0,58.0,0,56.0,58.0,0.0,0.0
3,6,49.0,59.0,91,49.0,59.0,0.0,0.0
3,7,50.0,59.0,78,50.0,59.0,0.0,0.0
3,8,47.0,60.0,117,47.0,60.0,0.0,0.0
3,9,48.0,60.0,104,48.0,60.0,0.0,0.0
3,10,46.0,61.0,143,46.0,61.0,0.0,0.0
3,11,47.0,61.0,130,47.0,61.0,0.0,0.0
3,12,46.0,62.0,156,46.0,62.0,0.0,0.0
3,13,45.0,63.0,169,45.0,63.0,0.0,0.0
3,14,44.0,64.0,182,44.0,64.0,0.0,0.0
3,15,43.0,65.0,195,43.0,65.0,0.0,0.0
3,16,43.0,66.0,208,43.0,66.0,0.0,0.0
3,17,42.0,67.0,221,42.0,67.0,0.0,0.0
3,18,41.0,68.0,247,41.0,68.0,0.0,0.0
3,19,42.0,68.0,234,42.0,68.0,0.0,0.0
3,20,41.0,69.0,260,41.0,69.0,0.0,0.0
3,21,40.0,70.0,286,40.0,70.0,0.0,0.0
3,22,41.0,70.0,273,41.0,70.0,0.0,0.0
3,23,40.0,71.0,299,40.0,71.0,0.0,0.0
3,24,39.0,72.0,325,39.0,72.0,0.0,0.0
3,25,40.0,72.0,312,40.0,72.0,0.0,0.0
3,26,39.0,73.0,338,39.0,73.0,0.0,0.0
3,27,38.0,74.0,351,38.0,74.0,0.0,0.0
3,28,38.0,75.0,364,38.0,75.0,0.0,0.0
3,29,37.0,76.0,377,37.0,76.0,0.0,0.0
3,30,36.0,77.0,390,36.0,77.0,0.0,0.0
3,31,36.0,78.0,403,36.0,78.0,0.0,0.0
3,32,35.0,79.0,416,35.0,79.0,0.0,0.0
3,33,34.0,80.0,442,34.0,80.0,0.0,0.0
3,34,35.0,80.0,429,35.0,80.0,0.0,0.0
3,35,34.0,81.0,455,34.0,81.0,0.0,0.0
