huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
14,0,460.0,64.0,234,460.0,64.0,0.0,0.0
14,1,460.0,65.0,221,460.0,65.0,0.0,0.0
14,2,461.0,66.0,208,461.0,66.0,0.0,0.0
14,3,462.0,67.0,195,462.0,67.0,0.0,0.0
14,4,463.0,68.0,156,463.0,68.0,0.0,0.0
14,5,463.0,69.0,169,463.0,69.0,0.0,0.0
14,6,464.0,69.0,143,464.0,69.0,0.0,0.0
14,7,464.0,70.0,130,464.0,70.0,0.0,0.0
14,8,464.0,71.0,117,464.0,71.0,0.0,0.0
14,9,463.0,72.0,104,463.0,72.0,0.0,0.0
14,10,463.0,73.0,91,463.0,73.0,0.0,0.0
14,11,462.0,74.0,78,462.0,74.0,0.0,0.0
14,12,461.0,75.0,65,461.0,75.0,0.0,0.0
14,13,462.0,75.0,260,462.0,75.0,0.0,0.0
14,14,460.0,76.0,52,460.0,76.0,0.0,0.0
14,15,461.0,76.0,273,461.0,76.0,0.0,0.0
14,16,458.0,77.0,26,458.0,77.0,0.0,0.0
14,17,459.0,77.0,39,459.0,77.0,0.0,0.0
14,18,456.0,78.0,0,456.0,78.0,0.0,0.0
14,19,457.0,78.0,13,457.0,78.0,0.0,0.0
14,20,458.0,78.0,299,458.0,78.0,0.0,0.0
