huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
4,0,143.0,11.0,1289,143.0,11.0,0.0,0.0
4,1,144.0,11.0,1302,144.0,11.0,0.0,0.0
4,2,145.0,11.0,1315,145.0,11.0,0.0,0.0
4,3,140.0,12.0,1250,140.0,12.0,0.0,0.0
4,4,141.0,12.0,1406,141.0,12.0,0.0,0.0
4,5,142.0,12.0,1276,142.0,12.0,0.0,0.0
4,6,146.0,12.0,1328,146.0,12.0,0.0,0.0
4,7,139.0,13.0,1237,139.0,13.0,0.0,0.0
4,8,140.0,13.0,1419,140.0,13.0,0.0,0.0
4,9,146.0,13.0,1341,146.0,13.0,0.0,0.0
4,10,138.0,14.0,1224,138.0,14.0,0.0,0.0
4,11,139.0,14.0,1432,139.0,14.0,0.0,0.0
4,12,146.0,14.0,1354,146.0,14.0,0.0,0.0
4,13,137.0,15.0,1211,137.0,15.0,0.0,0.0
4,14,146.0,15.0,1367,146.0,15.0,0.0,0.0
4,15,136.0,16.0,1198,136.0,16.0,0.0,0.0
4,16,146.0,16.0,1380,146.0,16.0,0.0,0.0
4,17,135.0,17.0,1185,135.0,17.0,0.0,0.0
4,18,145.0,17.0,1393,145.0,17.0,0.0,0.0
4,19,134.0,18.0,1172,134.0,18.0,0.0,0.0
4,20,133.0,19.0,1159,133.0,19.0,0.0,0.0
4,21,132.0,20.0,1146,132.0,20.0,0.0,0.0
4,22,131.0,21.0,1133,131.0,21.0,0.0,0.0
4,23,130.0,22.0,1120,130.0,22.0,0.0,0.0
4,24,129.0,23.0,1107,129.0,23.0,0.0,0.0
4,25,128.0,24.0,1445,128.0,24.0,0.0,0.0
4,26,127.0,25.0,1458,127.0,25.0,0.0,0.0
4,27,128.0,25.0,1081,128.0,25.0,0.0,0.0
4,28,126.0,26.0,1471,126.0,26.0,0.0,0.0
4,29,127.0,26.0,1068,127.0,26.0,0.0,0.0
4,30,125.0,27.0,1484,125.0,27.0,0.0,0.0
4,31,126.0,27.0,1055,126.0,27.0,0.0,0.0
4,32,125.0,28.0,1042,125.0,28.0,0.0,0.0
4,33,124.0,29.0,1497,124.0,29.0,0.0,0.0
4,34,123.0,30.0,1510,123.0,30.0,0.0,0.0
4,35,124.0,30.0,1016,124.0,30.0,0.0,0.0
4,36,122.0,31.0,1523,122.0,31.0,0.0,0.0
4,37,123.0,31.0,1003,123.0,31.0,0.0,0.0
4,38,122.0,32.0,990,122.0,32.0,0.0,0.0
4,39,121.0,33.0,977,121.0,33.0,0.0,0.0
4,40,120.0,34.0,964,120.0,34.0,0.0,0.0
4,41,119.0,35.0,951,119.0,35.0,0.0,0.0
4,42,118.0,36.0,1549,118.0,36.0,0.0,0.0
4,43,119.0,36.0,938,119.0,36.0,0.0,0.0
4,44,117.0,37.0,1562,117.0,37.0,0.0,0.0
4,45,118.0,37.0,925,118.0,37.0,0.0,0.0
4,46,116.0,38.0,1575,116.0,38.0,0.0,0.0
4,47,117.0,38.0,912,117.0,38.0,0.0,0.0
4,48,116.0,39.0,1588,116.0,39.0,0.0,0.0
4,49,115.0,40.0,1601,115.0,40.0,0.0,0.0
4,50,116.0,40.0,886,116.0,40.0,0.0,0.0
4,51,115.0,41.0,873,115.0,41.0,0.0,0.0
4,52,114.0,42.0,1614,114.0,42.0,0.0,0.0
4,53,113.0,43.0,1627,113.0,43.0,0.0,0.0
4,54,114.0,43.0,847,114.0,43.0,0.0,0.0
4,55,112.0,44.0,1640,112.0,44.0,0.0,0.0
4,56,113.0,44.0,834,113.0,44.0,0.0,0.0
4,57,111.0,45.0,1653,111.0,45.0,0.0,0.0
4,58,112.0,45.0,821,112.0,45.0,0.0,0.0
4,59,110.0,46.0,1666,110.0,46.0,0.0,0.0
4,60,111.0,46.0,808,111.0,46.0,0.0,0.0
4,61,109.0,47.0,1679,109.0,47.0,0.0,0.0
4,62,110.0,47.0,795,110.0,47.0,0.0,0.0
4,63,108.0,48.0,1692,108.0,48.0,0.0,0.0
4,64,109.0,48.0,782,109.0,48.0,0.0,0.0
4,65,108.0,49.0,769,108.0,49.0,0.0,0.0
4,66,107.0,50.0,756,107.0,50.0,0.0,0.0
4,67,106.0,51.0,743,106.0,51.0,0.0,0.0
4,68,105.0,52.0,730,105.0,52.0,0.0,0.0
4,69,104.0,53.0,717,104.0,53.0,0.0,0.0
4,70,103.0,54.0,1718,103.0,54.0,0.0,0.0
4,71,104.0,54.0,704,104.0,54.0,0.0,0.0
4,72,103.0,55.0,691,103.0,55.0,0.0,0.0
4,73,102.0,56.0,1744,102.0,56.0,0.0,0.0
4,74,103.0,56.0,678,103.0,56.0,0.0,0.0
4,75,101.0,57.0,1757,101.0,57.0,0.0,0.0
4,76,102.0,57.0,665,102.0,57.0,0.0,0.0
