huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
20,0,621.0,13.0,338,621.0,13.0,0.0,0.0
20,1,622.0,13.0,351,622.0,13.0,0.0,0.0
20,2,623.0,13.0,364,623.0,13.0,0.0,0.0
20,3,620.0,14.0,325,620.0,14.0,0.0,0.0
20,4,621.0,14.0,390,621.0,14.0,0.0,0.0
20,5,618.0,15.0,299,618.0,15.0,0.0,0.0
20,6,619.0,15.0,416,619.0,15.0,0.0,0.0
20,7,620.0,15.0,403,620.0,15.0,0.0,0.0
20,8,617.0,16.0,286,617.0,16.0,0.0,0.0
20,9,618.0,16.0,429,618.0,16.0,0.0,0.0
20,10,615.0,17.0,260,615.0,17.0,0.0,0.0
20,11,616.0,17.0,273,616.0,17.0,0.0,0.0
20,12,617.0,17.0,442,617.0,17.0,0.0,0.0
20,13,614.0,18.0,247,614.0,18.0,0.0,0.0
20,14,615.0,18.0,468,615.0,18.0,0.0,0.0
20,15,610.0,19.0,195,610.0,19.0,0.0,0.0
20,16,611.0,19.0,208,611.0,19.0,0.0,0.0
20,17,612.0,19.0,221,612.0,19.0,0.0,0.0
20,18,613.0,19.0,234,613.0,19.0,0.0,0.0
20,19,609.0,20.0,182,609.0,20.0,0.0,0.0
20,20,610.0,20.0,494,610.0,20.0,0.0,0.0
20,21,607.0,21.0,156,607.0,21.0,0.0,0.0
20,22,608.0,21.0,507,608.0,21.0,0.0,0.0
20,23,606.0,22.0,143,606.0,22.0,0.0,0.0
20,24,607.0,22.0,520,607.0,22.0,0.0,0.0
20,25,604.0,23.0,117,604.0,23.0,0.0,0.0
20,26,605.0,23.0,130,605.0,23.0,0.0,0.0
20,27,603.0,24.0,104,603.0,24.0,0.0,0.0
20,28,604.0,24.0,546,604.0,24.0,0.0,0.0
20,29,602.0,25.0,91,602.0,25.0,0.0,0.0
20,30,603.0,25.0,559,603.0,25.0,0.0,0.0
20,31,601.0,26.0,78,601.0,26.0,0.0,0.0
20,32,600.0,27.0,65,600.0,27.0,0.0,0.0
20,33,599.0,28.0,52,599.0,28.0,0.0,0.0
20,34,597.0,29.0,26,597.0,29.0,0.0,0.0
20,35,598.0,29.0,39,598.0,29.0,0.0,0.0
20,36,595.0,30.0,0,595.0,30.0,0.0,0.0
20,37,596.0,30.0,13,596.0,30.0,0.0,0.0
