huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
13,0,403.0,89.0,0,403.0,89.0,0.0,0.0
13,1,404.0,89.0,13,404.0,89.0,0.0,0.0
13,2,405.0,89.0,26,405.0,89.0,0.0,0.0
13,3,406.0,88.0,39,406.0,88.0,0.0,0.0
13,4,407.0,88.0,52,407.0,88.0,0.0,0.0
13,5,408.0,88.0,65,408.0,88.0,0.0,0.0
13,6,409.0,88.0,78,409.0,88.0,0.0,0.0
13,7,410.0,88.0,91,410.0,88.0,0.0,0.0
13,8,411.0,88.0,104,411.0,88.0,0.0,0.0
13,9,412.0,87.0,117,412.0,87.0,0.0,0.0
13,10,413.0,87.0,130,413.0,87.0,0.0,0.0
