huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
17,0,543.0,41.0,0,543.0,41.0,0.0,0.0
17,1,544.0,42.0,13,544.0,42.0,0.0,0.0
17,2,544.0,43.0,26,544.0,43.0,0.0,0.0
17,3,544.0,44.0,39,544.0,44.0,0.0,0.0
17,4,544.0,45.0,52,544.0,45.0,0.0,0.0
17,5,544.0,46.0,65,544.0,46.0,0.0,0.0
17,6,545.0,47.0,78,545.0,47.0,0.0,0.0
17,7,545.0,48.0,91,545.0,48.0,0.0,0.0
17,8,545.0,49.0,104,545.0,49.0,0.0,0.0
17,9,545.0,50.0,117,545.0,50.0,0.0,0.0
17,10,545.0,51.0,130,545.0,51.0,0.0,0.0
17,11,545.0,52.0,143,545.0,52.0,0.0,0.0
17,12,546.0,53.0,156,546.0,53.0,0.0,0.0
17,13,546.0,54.0,169,546.0,54.0,0.0,0.0
17,14,546.0,55.0,182,546.0,55.0,0.0,0.0
17,15,546.0,56.0,195,546.0,56.0,0.0,0.0
17,16,546.0,57.0,208,546.0,57.0,0.0,0.0
17,17,546.0,58.0,221,546.0,58.0,0.0,0.0
17,18,546.0,59.0,234,546.0,59.0,0.0,0.0
17,19,547.0,60.0,247,547.0,60.0,0.0,0.0
17,20,547.0,61.0,260,547.0,61.0,0.0,0.0
17,21,547.0,62.0,273,547.0,62.0,0.0,0.0
17,22,547.0,63.0,286,547.0,63.0,0.0,0.0
17,23,548.0,64.0,299,548.0,64.0,0.0,0.0
17,24,548.0,65.0,312,548.0,65.0,0.0,0.0
17,25,548.0,66.0,325,548.0,66.0,0.0,0.0
17,26,548.0,67.0,338,548.0,67.0,0.0,0.0
17,27,548.0,68.0,351,548.0,68.0,0.0,0.0
17,28,549.0,69.0,364,549.0,69.0,0.0,0.0
17,29,549.0,70.0,377,549.0,70.0,0.0,0.0
17,30,550.0,71.0,390,550.0,71.0,0.0,0.0
17,31,550.0,72.0,403,550.0,72.0,0.0,0.0
17,32,551.0,73.0,416,551.0,73.0,0.0,0.0
17,33,552.0,74.0,429,552.0,74.0,0.0,0.0
17,34,553.0,74.0,442,553.0,74.0,0.0,0.0
17,35,554.0,74.0,455,554.0,74.0,0.0,0.0
17,36,555.0,75.0,468,555.0,75.0,0.0,0.0
17,37,556.0,76.0,481,556.0,76.0,0.0,0.0
17,38,557.0,76.0,494,557.0,76.0,0.0,0.0
17,39,558.0,76.0,507,558.0,76.0,0.0,0.0
17,40,559.0,76.0,520,559.0,76.0,0.0,0.0
17,41,560.0,76.0,533,560.0,76.0,0.0,0.0
17,42,561.0,76.0,546,561.0,76.0,0.0,0.0
17,43,562.0,76.0,559,562.0,76.0,0.0,0.0
17,44,563.0,76.0,572,563.0,76.0,0.0,0.0
17,45,564.0,75.0,585,564.0,75.0,0.0,0.0
17,46,565.0,75.0,598,565.0,75.0,0.0,0.0
17,47,566.0,75.0,611,566.0,75.0,0.0,0.0
17,48,567.0,75.0,624,567.0,75.0,0.0,0.0
17,49,568.0,74.0,637,568.0,74.0,0.0,0.0
17,50,569.0,74.0,650,569.0,74.0,0.0,0.0
17,51,570.0,73.0,663,570.0,73.0,0.0,0.0
17,52,571.0,73.0,676,571.0,73.0,0.0,0.0
17,53,572.0,72.0,689,572.0,72.0,0.0,0.0
17,54,573.0,73.0,702,573.0,73.0,0.0,0.0
17,55,574.0,73.0,715,574.0,73.0,0.0,0.0
17,56,575.0,73.0,728,575.0,73.0,0.0,0.0
17,57,576.0,73.0,741,576.0,73.0,0.0,0.0
17,58,577.0,73.0,754,577.0,73.0,0.0,0.0
17,59,578.0,73.0,767,578.0,73.0,0.0,0.0
17,60,579.0,73.0,780,579.0,73.0,0.0,0.0
17,61,580.0,73.0,793,580.0,73.0,0.0,0.0
17,62,581.0,73.0,806,581.0,73.0,0.0,0.0
17,63,582.0,73.0,819,582.0,73.0,0.0,0.0
17,64,583.0,73.0,832,583.0,73.0,0.0,0.0
17,65,584.0,72.0,845,584.0,72.0,0.0,0.0
17,66,585.0,72.0,858,585.0,72.0,0.0,0.0
17,67,586.0,71.0,871,586.0,71.0,0.0,0.0
17,68,587.0,70.0,884,587.0,70.0,0.0,0.0
17,69,588.0,69.0,897,588.0,69.0,0.0,0.0
17,70,588.0,68.0,910,588.0,68.0,0.0,0.0
17,71,588.0,67.0,923,588.0,67.0,0.0,0.0
17,72,588.0,66.0,936,588.0,66.0,0.0,0.0
17,73,588.0,65.0,949,588.0,65.0,0.0,0.0
17,74,587.0,64.0,962,587.0,64.0,0.0,0.0
17,75,587.0,63.0,975,587.0,63.0,0.0,0.0
17,76,586.0,62.0,988,586.0,62.0,0.0,0.0
17,77,586.0,61.0,1001,586.0,61.0,0.0,0.0
17,78,586.0,60.0,1014,586.0,60.0,0.0,0.0
17,79,585.0,59.0,1027,585.0,59.0,0.0,0.0
17,80,585.0,58.0,1040,585.0,58.0,0.0,0.0
17,81,584.0,57.0,1053,584.0,57.0,0.0,0.0
17,82,584.0,56.0,1066,584.0,56.0,0.0,0.0
17,83,583.0,55.0,1079,583.0,55.0,0.0,0.0
17,84,583.0,54.0,1092,583.0,54.0,0.0,0.0
17,85,583.0,53.0,1105,583.0,53.0,0.0,0.0
17,86,583.0,52.0,1118,583.0,52.0,0.0,0.0
17,87,582.0,51.0,1131,582.0,51.0,0.0,0.0
17,88,582.0,50.0,1144,582.0,50.0,0.0,0.0
17,89,582.0,49.0,1157,582.0,49.0,0.0,0.0
17,90,582.0,48.0,1170,582.0,48.0,0.0,0.0
17,91,582.0,47.0,1183,582.0,47.0,0.0,0.0
17,92,582.0,46.0,1196,582.0,46.0,0.0,0.0
17,93,582.0,45.0,1209,582.0,45.0,0.0,0.0
17,94,582.0,44.0,1222,582.0,44.0,0.0,0.0
17,95,582.0,43.0,1235,582.0,43.0,0.0,0.0
17,96,582.0,42.0,1248,582.0,42.0,0.0,0.0
17,97,583.0,41.0,1261,583.0,41.0,0.0,0.0
17,98,583.0,40.0,1274,583.0,40.0,0.0,0.0
17,99,584.0,39.0,1287,584.0,39.0,0.0,0.0
17,100,585.0,38.0,1300,585.0,38.0,0.0,0.0
17,101,586.0,37.0,1313,586.0,37.0,0.0,0.0
17,102,587.0,37.0,1326,587.0,37.0,0.0,0.0
17,103,584.0,57.0,1053,584.0,57.0,0.0,0.0
17,104,584.0,58.0,1352,584.0,58.0,0.0,0.0
17,105,585.0,59.0,1027,585.0,59.0,0.0,0.0
17,106,585.0,60.0,1378,585.0,60.0,0.0,0.0
17,107,587.0,64.0,962,587.0,64.0,0.0,0.0
17,108,587.0,65.0,1404,587.0,65.0,0.0,0.0
17,109,573.0,73.0,702,573.0,73.0,0.0,0.0
17,110,572.0,73.0,1430,572.0,73.0,0.0,0.0
17,111,572.0,72.0,689,572.0,72.0,0.0,0.0
17,112,572.0,71.0,1456,572.0,71.0,0.0,0.0
17,113,572.0,70.0,1469,572.0,70.0,0.0,0.0
17,114,572.0,69.0,1482,572.0,69.0,0.0,0.0
17,115,572.0,68.0,1495,572.0,68.0,0.0,0.0
17,116,555.0,75.0,468,555.0,75.0,0.0,0.0
17,117,554.0,75.0,1521,554.0,75.0,0.0,0.0
17,118,550.0,72.0,403,550.0,72.0,0.0,0.0
17,119,549.0,71.0,1547,549.0,71.0,0.0,0.0
