huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
7,0,231.0,69.0,0,231.0,69.0,0.0,0.0
7,1,232.0,70.0,13,232.0,70.0,0.0,0.0
7,2,233.0,70.0,26,233.0,70.0,0.0,0.0
7,3,234.0,70.0,39,234.0,70.0,0.0,0.0
7,4,235.0,70.0,52,235.0,70.0,0.0,0.0
7,5,236.0,71.0,65,236.0,71.0,0.0,0.0
7,6,237.0,71.0,78,237.0,71.0,0.0,0.0
7,7,238.0,71.0,91,238.0,71.0,0.0,0.0
7,8,239.0,71.0,104,239.0,71.0,0.0,0.0
7,9,240.0,71.0,117,240.0,71.0,0.0,0.0
7,10,241.0,71.0,130,241.0,71.0,0.0,0.0
7,11,242.0,71.0,143,242.0,71.0,0.0,0.0
7,12,243.0,71.0,156,243.0,71.0,0.0,0.0
7,13,244.0,71.0,169,244.0,71.0,0.0,0.0
7,14,245.0,71.0,182,245.0,71.0,0.0,0.0
7,15,246.0,71.0,195,246.0,71.0,0.0,0.0
7,16,247.0,71.0,208,247.0,71.0,0.0,0.0
7,17,248.0,71.0,221,248.0,71.0,0.0,0.0
7,18,249.0,71.0,234,249.0,71.0,0.0,0.0
7,19,250.0,71.0,247,250.0,71.0,0.0,0.0
7,20,251.0,71.0,260,251.0,71.0,0.0,0.0
7,21,252.0,71.0,273,252.0,71.0,0.0,0.0
7,22,253.0,71.0,286,253.0,71.0,0.0,0.0
7,23,254.0,71.0,299,254.0,71.0,0.0,0.0
7,24,255.0,71.0,312,255.0,71.0,0.0,0.0
7,25,256.0,71.0,325,256.0,71.0,0.0,0.0
7,26,257.0,71.0,338,257.0,71.0,0.0,0.0
7,27,258.0,71.0,351,258.0,71.0,0.0,0.0
7,28,259.0,71.0,364,259.0,71.0,0.0,0.0
7,29,260.0,70.0,377,260.0,70.0,0.0,0.0
7,30,261.0,70.0,390,261.0,70.0,0.0,0.0
7,31,262.0,70.0,403,262.0,70.0,0.0,0.0
7,32,263.0,69.0,416,263.0,69.0,0.0,0.0
7,33,264.0,69.0,429,264.0,69.0,0.0,0.0
7,34,265.0,69.0,442,265.0,69.0,0.0,0.0
7,35,266.0,69.0,455,266.0,69.0,0.0,0.0
7,36,267.0,69.0,468,267.0,69.0,0.0,0.0
7,37,268.0,68.0,481,268.0,68.0,0.0,0.0
7,38,269.0,68.0,494,269.0,68.0,0.0,0.0
7,39,270.0,67.0,507,270.0,67.0,0.0,0.0
7,40,271.0,66.0,520,271.0,66.0,0.0,0.0
7,41,272.0,66.0,533,272.0,66.0,0.0,0.0
7,42,273.0,66.0,546,273.0,66.0,0.0,0.0
7,43,274.0,65.0,559,274.0,65.0,0.0,0.0
7,44,275.0,65.0,572,275.0,65.0,0.0,0.0
7,45,276.0,65.0,585,276.0,65.0,0.0,0.0
7,46,277.0,64.0,598,277.0,64.0,0.0,0.0
7,47,278.0,64.0,611,278.0,64.0,0.0,0.0
7,48,279.0,64.0,624,279.0,64.0,0.0,0.0
7,49,280.0,63.0,637,280.0,63.0,0.0,0.0
7,50,281.0,63.0,2418,281.0,63.0,0.0,0.0
7,51,282.0,63.0,663,282.0,63.0,0.0,0.0
7,52,283.0,62.0,676,283.0,62.0,0.0,0.0
7,53,284.0,62.0,689,284.0,62.0,0.0,0.0
7,54,285.0,61.0,702,285.0,61.0,0.0,0.0
7,55,286.0,61.0,715,286.0,61.0,0.0,0.0
7,56,287.0,60.0,728,287.0,60.0,0.0,0.0
7,57,288.0,60.0,741,288.0,60.0,0.0,0.0
7,58,289.0,59.0,754,289.0,59.0,0.0,0.0
7,59,290.0,59.0,767,290.0,59.0,0.0,0.0
7,60,291.0,58.0,780,291.0,58.0,0.0,0.0
7,61,292.0,58.0,793,292.0,58.0,0.0,0.0
7,62,293.0,57.0,806,293.0,57.0,0.0,0.0
7,63,294.0,57.0,819,294.0,57.0,0.0,0.0
7,64,295.0,56.0,832,295.0,56.0,0.0,0.0
7,65,296.0,56.0,845,296.0,56.0,0.0,0.0
7,66,297.0,55.0,858,297.0,55.0,0.0,0.0
7,67,298.0,55.0,871,298.0,55.0,0.0,0.0
7,68,299.0,54.0,884,299.0,54.0,0.0,0.0
7,69,300.0,54.0,897,300.0,54.0,0.0,0.0
7,70,301.0,53.0,910,301.0,53.0,0.0,0.0
7,71,302.0,52.0,923,302.0,52.0,0.0,0.0
7,72,303.0,52.0,936,303.0,52.0,0.0,0.0
7,73,304.0,51.0,949,304.0,51.0,0.0,0.0
7,74,305.0,50.0,962,305.0,50.0,0.0,0.0
7,75,306.0,49.0,975,306.0,49.0,0.0,0.0
