huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
15,0,456.0,78.0,313,456.0,78.0,0.0,0.0
15,1,457.0,78.0,13,457.0,78.0,0.0,0.0
15,2,458.0,77.0,26,458.0,77.0,0.0,0.0
15,3,459.0,77.0,39,459.0,77.0,0.0,0.0
15,4,460.0,76.0,52,460.0,76.0,0.0,0.0
15,5,461.0,75.0,65,461.0,75.0,0.0,0.0
15,6,462.0,74.0,247,462.0,74.0,0.0,0.0
15,7,463.0,73.0,91,463.0,73.0,0.0,0.0
15,8,463.0,72.0,104,463.0,72.0,0.0,0.0
15,9,464.0,71.0,117,464.0,71.0,0.0,0.0
15,10,464.0,70.0,130,464.0,70.0,0.0,0.0
15,11,464.0,69.0,143,464.0,69.0,0.0,0.0
15,12,463.0,68.0,156,463.0,68.0,0.0,0.0
15,13,463.0,69.0,169,463.0,69.0,0.0,0.0
15,14,463.0,68.0,156,463.0,68.0,0.0,0.0
15,15,462.0,67.0,195,462.0,67.0,0.0,0.0
15,16,461.0,66.0,208,461.0,66.0,0.0,0.0
15,17,460.0,65.0,221,460.0,65.0,0.0,0.0
15,18,460.0,64.0,234,460.0,64.0,0.0,0.0
15,19,462.0,74.0,247,462.0,74.0,0.0,0.0
15,20,462.0,75.0,260,462.0,75.0,0.0,0.0
15,21,461.0,76.0,273,461.0,76.0,0.0,0.0
15,22,459.0,77.0,39,459.0,77.0,0.0,0.0
15,23,458.0,78.0,299,458.0,78.0,0.0,0.0
